agegroup,variable,level,pcovdeath,pnoncovdeath,nameshort,variable_level
"18-39","",99,2.01e-06,.0000332,"NO RISK FACTORS","NO RISK FACTORS99"
"18-39","male",1,2.37e-06,.0000523,"male","male1"
"18-39","obese4cat",2,2.90e-06,.0000348,"obese","obese2"
"18-39","obese4cat",3,9.73e-06,.00004,"obese","obese3"
"18-39","obese4cat",4,.0000166,.0000388,"obese","obese4"
"18-39","smoke_nomiss",2,1.94e-06,.0000403,"smoke","smoke2"
"18-39","smoke_nomiss",3,1.53e-06,.000055,"smoke","smoke3"
"18-39","ethnicity",2,2.18e-06,.0000249,"ethnic","ethnic2"
"18-39","ethnicity",3,7.00e-06,.0000322,"ethnic","ethnic3"
"18-39","ethnicity",4,5.91e-06,.0000352,"ethnic","ethnic4"
"18-39","ethnicity",5,4.78e-06,.0000105,"ethnic","ethnic5"
"18-39","imd",2,1.56e-06,.00003,"imd","imd2"
"18-39","imd",3,3.52e-06,.0000362,"imd","imd3"
"18-39","imd",4,6.73e-06,.0000388,"imd","imd4"
"18-39","imd",5,5.86e-06,.0000487,"imd","imd5"
"18-39","htdiag_or_highbp",1,3.09e-06,.0000549,"htn","htn1"
"18-39","chronic_respiratory_disease",1,7.55e-06,.0002172,"respiratory","respiratory1"
"18-39","asthmacat",2,2.47e-06,.000042,"asthma","asthma2"
"18-39","asthmacat",3,1.59e-06,.0000514,"asthma","asthma3"
"18-39","chronic_cardiac_disease",1,7.47e-06,.000139,"cardiac","cardiac1"
"18-39","diabcat",2,4.27e-06,.0000995,"diab","diab2"
"18-39","diabcat",3,9.11e-06,.000121,"diab","diab3"
"18-39","diabcat",4,5.15e-06,.0000753,"diab","diab4"
"18-39","cancer_exhaem_cat",2,.0000472,.008335,"cancer","cancer2"
"18-39","cancer_exhaem_cat",3,.0000166,.0027126,"cancer","cancer3"
"18-39","cancer_exhaem_cat",4,4.06e-12,.0004298,"cancer","cancer4"
"18-39","cancer_haem_cat",2,.0002054,.0019909,"haem_can","haem_can2"
"18-39","cancer_haem_cat",3,.0000637,.0005673,"haem_can","haem_can3"
"18-39","cancer_haem_cat",4,3.72e-12,.0000481,"haem_can","haem_can4"
"18-39","chronic_liver_disease",1,.0000266,.0006143,"liver","liver1"
"18-39","stroke_dementia",1,1.39e-12,.0001005,"stroke_dem","stroke_dem1"
"18-39","other_neuro",1,.0000171,.000351,"other_neur","other_neur1"
"18-39","reduced_kidney_function_cat",2,.000044,.000191,"kidney","kidney2"
"18-39","reduced_kidney_function_cat",3,.0001501,.0004269,"kidney","kidney3"
"18-39","organ_transplant",1,6.43e-13,.0000134,"org_trans","org_trans1"
"18-39","spleen",1,3.87e-06,.0000469,"spleen","spleen1"
